growth,gross_margin,operating_cash_flow,net_profit_margin,ebitda,cac,ltv,pe_ratio,debt_ratio,time_stamp
3.6,44.0,2.3,5.8,4.2,518,2623,15.0,0.52,2025-10-01T09:15:22.145321+00:00
3.9,44.2,2.4,6.0,4.3,518,2635,15.4,0.51,2025-10-01T14:42:58.763112+00:00
4.1,44.4,2.5,6.2,4.5,513,2659,15.8,0.51,2025-10-01T21:03:47.389004+00:00
4.4,44.5,2.6,6.4,4.6,511,2686,16.0,0.51,2025-10-02T09:15:22.145321+00:00
4.6,44.7,2.7,6.5,4.7,507,2707,16.3,0.51,2025-10-02T14:42:58.763112+00:00
4.8,44.9,2.8,6.7,4.8,504,2738,16.7,0.5,2025-10-02T21:03:47.389004+00:00
5.1,45.1,2.9,6.9,4.9,501,2751,17.0,0.5,2025-10-03T09:15:22.145321+00:00
5.3,45.3,3.0,7.0,5.1,497,2760,17.5,0.5,2025-10-03T14:42:58.763112+00:00
5.5,45.4,3.1,7.2,5.2,494,2766,17.7,0.5,2025-10-03T21:03:47.389004+00:00
5.8,45.6,3.3,7.4,5.3,490,2794,18.2,0.49,2025-10-04T09:15:22.145321+00:00
6.0,45.7,3.4,7.5,5.5,488,2817,18.6,0.49,2025-10-04T14:42:58.763112+00:00
6.2,45.9,3.6,7.7,5.6,485,2835,19.0,0.49,2025-10-04T21:03:47.389004+00:00
6.4,46.1,3.7,7.9,5.7,482,2854,19.3,0.48,2025-10-05T09:15:22.145321+00:00
6.6,46.3,3.8,8.1,5.8,478,2865,19.8,0.48,2025-10-05T14:42:58.763112+00:00
6.7,46.5,3.9,8.3,5.9,475,2900,20.1,0.48,2025-10-05T21:03:47.389004+00:00
6.9,46.6,4.0,8.4,6.1,473,2919,20.6,0.48,2025-10-06T09:15:22.145321+00:00
7.1,46.8,4.1,8.6,6.2,471,2937,21.0,0.47,2025-10-06T14:42:58.763112+00:00
7.3,47.0,4.2,8.8,6.3,467,2960,21.4,0.47,2025-10-06T21:03:47.389004+00:00
7.5,47.2,4.3,8.9,6.5,464,2982,21.8,0.47,2025-10-07T09:15:22.145321+00:00
7.7,47.4,4.4,9.1,6.6,462,3001,22.1,0.47,2025-10-07T14:42:58.763112+00:00
8.0,47.5,4.6,9.3,6.8,457,3014,22.5,0.46,2025-10-07T21:03:47.389004+00:00
8.2,47.7,4.6,9.4,7.0,455,3035,22.8,0.46,2025-10-08T09:15:22.145321+00:00
8.4,47.9,4.8,9.6,7.1,452,3066,23.0,0.46,2025-10-08T14:42:58.763112+00:00
8.6,48.0,4.8,9.8,7.2,450,3094,23.5,0.46,2025-10-08T21:03:47.389004+00:00
8.8,48.2,4.9,9.9,7.4,446,3123,23.9,0.45,2025-10-09T09:15:22.145321+00:00
9.0,48.5,5.1,10.1,7.5,441,3137,24.2,0.45,2025-10-09T14:42:58.763112+00:00
9.2,48.6,5.2,10.2,7.6,437,3148,24.6,0.45,2025-10-09T21:03:47.389004+00:00
9.4,48.8,5.3,10.4,7.8,434,3166,25.0,0.45,2025-10-10T09:15:22.145321+00:00
9.6,48.9,5.3,10.6,7.9,431,3184,25.4,0.45,2025-10-10T14:42:58.763112+00:00
9.8,49.1,5.5,10.8,8.0,427,3210,25.7,0.44,2025-10-10T21:03:47.389004+00:00
10.0,49.2,5.6,11.0,8.1,425,3216,26.1,0.44,2025-10-11T09:15:22.145321+00:00
10.3,49.4,5.7,11.1,8.2,421,3244,26.4,0.43,2025-10-11T14:42:58.763112+00:00
10.5,49.5,5.8,11.2,8.3,418,3261,26.8,0.43,2025-10-11T21:03:47.389004+00:00
10.7,49.7,5.9,11.4,8.5,414,3276,27.0,0.43,2025-10-12T09:15:22.145321+00:00
10.9,49.8,6.0,11.6,8.6,410,3287,27.5,0.42,2025-10-12T14:42:58.763112+00:00
11.1,50.1,6.1,11.7,8.7,407,3294,27.9,0.42,2025-10-12T21:03:47.389004+00:00
11.4,50.2,6.2,11.9,8.9,404,3317,28.3,0.42,2025-10-13T09:15:22.145321+00:00
11.5,50.4,6.3,12.0,9.0,400,3336,28.8,0.42,2025-10-13T14:42:58.763112+00:00
11.7,50.6,6.4,12.2,9.1,399,3345,29.3,0.41,2025-10-13T21:03:47.389004+00:00
11.9,50.7,6.5,12.3,9.2,395,3354,29.8,0.41,2025-10-14T09:15:22.145321+00:00
12.1,50.9,6.6,12.5,9.3,393,3370,30.0,0.41,2025-10-14T14:42:58.763112+00:00
12.4,51.1,6.7,12.6,9.5,389,3399,30.3,0.41,2025-10-14T21:03:47.389004+00:00
12.6,51.2,6.8,12.8,9.5,387,3415,30.6,0.4,2025-10-15T09:15:22.145321+00:00
12.8,51.4,6.9,13.0,9.7,386,3423,31.0,0.4,2025-10-15T14:42:58.763112+00:00
13.0,51.6,7.0,13.1,9.8,380,3439,31.4,0.4,2025-10-15T21:03:47.389004+00:00
13.1,51.8,7.1,13.3,9.9,377,3455,31.7,0.4,2025-10-16T09:15:22.145321+00:00
13.4,51.9,7.2,13.4,10.0,375,3454,32.1,0.39,2025-10-16T14:42:58.763112+00:00
13.6,52.0,7.3,13.5,10.1,372,3472,32.4,0.39,2025-10-16T21:03:47.389004+00:00
13.8,52.2,7.5,13.6,10.3,369,3488,32.8,0.39,2025-10-17T09:15:22.145321+00:00
14.0,52.4,7.6,13.8,10.4,366,3511,33.0,0.39,2025-10-17T14:42:58.763112+00:00
14.2,52.6,7.7,14.0,10.5,363,3542,33.3,0.38,2025-10-17T21:03:47.389004+00:00
14.4,52.8,7.8,14.2,10.6,360,3568,33.6,0.38,2025-10-18T09:15:22.145321+00:00
14.6,52.9,7.9,14.4,10.7,359,3584,33.9,0.38,2025-10-18T14:42:58.763112+00:00
14.9,53.1,8.1,14.5,10.9,356,3594,34.4,0.37,2025-10-18T21:03:47.389004+00:00
