temperature,humidity,pressure,co2,pm2_5,light,motion,battery,signal_strength,time_stamp
21.0,39.3,1014.9,446,9.7,188,0,95.7,-65.3,2026-01-01T00:00:00
21.5,37.7,1014.6,386,7.3,212,0,98.5,-75.7,2026-01-01T02:24:00
18.0,41.6,1010.3,358,26.7,189,0,97.4,-71.6,2026-01-01T04:48:00
20.2,34.2,1014.1,382,9.1,170,0,97.5,-64.4,2026-01-01T07:12:00
21.6,33.9,1013.6,341,0.0,210,1,96.1,-67.8,2026-01-01T09:36:00
20.3,39.4,1012.1,356,4.8,177,0,97.3,-66.8,2026-01-01T12:00:00
20.6,38.1,1011.0,418,22.3,247,1,99.6,-72.5,2026-01-01T14:24:00
19.4,41.7,1015.9,386,10.1,145,1,96.8,-73.6,2026-01-01T16:48:00
19.9,45.0,1014.1,381,15.6,277,1,97.5,-77.9,2026-01-01T19:12:00
21.6,40.4,1012.1,403,0.0,189,0,96.2,-68.9,2026-01-01T21:36:00
18.4,37.5,1015.7,410,6.7,226,1,96.8,-72.1,2026-01-02T00:00:00
19.3,38.0,1008.6,409,14.6,200,0,98.4,-70.7,2026-01-02T02:24:00
19.3,36.0,1012.5,412,30.9,209,0,94.6,-75.8,2026-01-02T04:48:00
19.9,40.3,1020.4,394,15.0,198,1,98.3,-73.5,2026-01-02T07:12:00
22.3,43.8,1015.4,373,26.0,130,0,96.8,-73.0,2026-01-02T09:36:00
18.9,40.5,1011.5,353,12.7,147,0,97.6,-68.6,2026-01-02T12:00:00
18.4,38.4,1015.4,363,14.3,265,0,98.3,-69.2,2026-01-02T14:24:00
21.6,33.8,1009.0,416,15.0,213,0,99.1,-69.0,2026-01-02T16:48:00
20.6,36.4,1018.6,414,0.1,233,1,98.3,-66.5,2026-01-02T19:12:00
18.4,44.8,1014.2,425,31.0,188,0,98.3,-72.3,2026-01-02T21:36:00
19.8,41.7,1013.8,425,12.1,273,0,96.5,-68.1,2026-01-03T00:00:00
18.3,34.6,1014.4,393,19.1,224,1,94.7,-70.2,2026-01-03T02:24:00
18.3,32.4,1011.7,426,14.1,138,1,95.5,-72.7,2026-01-03T04:48:00
20.3,40.3,1009.6,411,17.6,254,0,97.5,-66.8,2026-01-03T07:12:00
21.0,42.6,1014.5,516,17.7,257,1,95.0,-70.9,2026-01-03T09:36:00
21.5,36.1,1012.3,385,12.8,316,0,96.0,-75.6,2026-01-03T12:00:00
19.1,45.4,1013.2,368,4.8,234,0,98.6,-69.9,2026-01-03T14:24:00
18.7,50.7,1014.9,339,13.9,167,0,98.6,-67.4,2026-01-03T16:48:00
21.0,44.3,1009.4,390,7.3,167,0,95.4,-73.8,2026-01-03T19:12:00
21.8,50.6,1016.1,354,7.2,263,0,98.4,-72.1,2026-01-03T21:36:00
20.9,43.9,1010.2,398,0.0,149,0,96.3,-65.1,2026-01-04T00:00:00
17.1,37.8,1013.4,443,0.0,258,0,97.7,-70.0,2026-01-04T02:24:00
20.4,37.0,1013.2,388,13.1,233,0,95.3,-63.6,2026-01-04T04:48:00
16.1,39.2,1014.8,408,5.8,190,1,98.4,-71.5,2026-01-04T07:12:00
18.8,44.2,1014.1,379,21.0,215,1,94.5,-72.5,2026-01-04T09:36:00
18.9,43.7,1014.8,399,13.2,264,0,93.8,-71.8,2026-01-04T12:00:00
19.6,45.5,1015.5,424,25.1,201,0,94.0,-69.0,2026-01-04T14:24:00
19.7,40.5,1014.8,375,32.9,150,0,94.7,-73.6,2026-01-04T16:48:00
21.2,43.1,1013.0,373,12.8,166,0,94.1,-72.5,2026-01-04T19:12:00
19.4,42.1,1011.3,375,14.4,212,0,94.4,-71.5,2026-01-04T21:36:00
19.1,41.2,1008.7,358,4.8,189,1,95.2,-67.4,2026-01-05T00:00:00
19.7,39.9,1010.0,399,9.1,216,1,95.1,-72.5,2026-01-05T02:24:00
19.8,42.0,1015.1,388,14.2,201,0,95.2,-69.9,2026-01-05T04:48:00
21.0,47.3,1015.9,465,4.3,244,0,96.6,-69.4,2026-01-05T07:12:00
24.4,36.0,1010.5,382,0.0,174,0,97.6,-69.0,2026-01-05T09:36:00
23.8,44.8,1011.3,373,16.9,134,1,93.7,-64.5,2026-01-05T12:00:00
22.4,37.7,1007.9,441,10.9,262,0,96.6,-70.0,2026-01-05T14:24:00
20.1,37.7,1014.9,368,10.6,206,0,94.6,-68.5,2026-01-05T16:48:00
16.9,46.4,1014.0,378,27.5,206,0,93.7,-63.8,2026-01-05T19:12:00
23.5,38.8,1015.9,419,25.7,152,0,97.9,-67.9,2026-01-05T21:36:00
22.1,31.2,1009.5,339,9.3,236,0,93.6,-65.1,2026-01-06T00:00:00
17.2,31.5,1012.8,412,11.7,97,0,96.3,-70.3,2026-01-06T02:24:00
20.7,35.3,1011.5,368,11.4,248,0,96.6,-71.6,2026-01-06T04:48:00
18.4,39.5,1009.9,383,0.0,298,0,93.5,-69.9,2026-01-06T07:12:00
18.6,41.1,1012.7,393,18.1,238,0,96.5,-70.8,2026-01-06T09:36:00
15.4,32.4,1017.1,449,9.5,229,0,94.8,-69.1,2026-01-06T12:00:00
19.7,35.2,1008.2,406,4.4,129,0,95.9,-71.9,2026-01-06T14:24:00
17.8,48.4,1015.6,400,26.8,204,0,93.8,-72.6,2026-01-06T16:48:00
17.9,39.0,1010.4,359,21.3,295,0,92.6,-74.2,2026-01-06T19:12:00
21.1,36.7,1011.5,382,3.4,202,0,92.6,-72.5,2026-01-06T21:36:00
19.5,35.5,1011.3,423,17.0,151,1,94.2,-75.0,2026-01-07T00:00:00
21.1,36.7,1014.7,377,0.0,119,0,93.9,-69.9,2026-01-07T02:24:00
21.3,31.7,1012.8,364,5.5,202,0,96.3,-67.0,2026-01-07T04:48:00
18.8,44.2,1009.6,416,26.4,76,0,92.4,-72.4,2026-01-07T07:12:00
20.7,37.0,1013.3,395,23.7,213,0,93.0,-71.5,2026-01-07T09:36:00
19.1,42.0,1011.7,409,32.8,244,0,92.9,-71.0,2026-01-07T12:00:00
15.9,35.0,1007.4,389,12.2,284,0,92.5,-67.5,2026-01-07T14:24:00
15.6,41.2,1015.3,356,23.4,217,0,94.3,-71.2,2026-01-07T16:48:00
20.4,41.2,1011.6,375,20.3,157,0,94.2,-68.6,2026-01-07T19:12:00
