revenue_growth_pct,gross_margin_pct,avg_order_value,conversion_rate_pct,cart_abandonment_rate_pct,customer_acquisition_cost,repeat_purchase_rate_pct,monthly_active_users,return_rate_pct,time_stamp
12.4,38.2,78.5,2.1,68.7,42.3,18.6,124,9.8,2026-01-01T08:22:19.000000+00:00
13.1,38.5,79.2,2.2,68.1,41.9,19.0,126,9.7,2026-01-01T15:47:33.000000+00:00
13.8,38.9,80.1,2.3,67.4,41.5,19.4,128,9.6,2026-01-01T22:11:08.000000+00:00
14.2,39.1,81.4,2.4,66.8,40.8,19.8,131,9.5,2026-01-02T08:22:19.000000+00:00
14.7,39.4,82.3,2.5,66.2,40.2,20.1,134,9.4,2026-01-02T15:47:33.000000+00:00
15.3,39.7,83.5,2.6,65.5,39.7,20.5,137,9.3,2026-01-02T22:11:08.000000+00:00
15.9,40.0,84.6,2.7,64.9,39.1,20.9,140,9.2,2026-01-03T08:22:19.000000+00:00
16.4,40.3,85.7,2.8,64.2,38.6,21.3,143,9.1,2026-01-03T15:47:33.000000+00:00
17.0,40.6,86.9,2.9,63.6,38.0,21.7,146,9.0,2026-01-03T22:11:08.000000+00:00
17.6,40.9,88.2,3.0,62.9,37.4,22.1,150,8.9,2026-01-04T08:22:19.000000+00:00
18.1,41.2,89.4,3.1,62.3,36.9,22.5,153,8.8,2026-01-04T15:47:33.000000+00:00
18.7,41.5,90.5,3.2,61.7,36.3,22.9,157,8.7,2026-01-04T22:11:08.000000+00:00
19.2,41.8,91.8,3.3,61.0,35.8,23.3,161,8.6,2026-01-05T08:22:19.000000+00:00
19.8,42.1,93.0,3.4,60.4,35.2,23.7,165,8.5,2026-01-05T15:47:33.000000+00:00
20.3,42.4,94.1,3.5,59.8,34.7,24.1,169,8.4,2026-01-05T22:11:08.000000+00:00
20.9,42.7,95.3,3.6,59.1,34.1,24.5,173,8.3,2026-01-06T08:22:19.000000+00:00
21.4,43.0,96.5,3.7,58.5,33.6,24.9,177,8.2,2026-01-06T15:47:33.000000+00:00
22.0,43.3,97.8,3.8,57.9,33.0,25.3,181,8.1,2026-01-06T22:11:08.000000+00:00
22.5,43.6,99.0,3.9,57.2,32.5,25.7,185,8.0,2026-01-07T08:22:19.000000+00:00
23.1,43.9,100.2,4.0,56.6,31.9,26.1,189,7.9,2026-01-07T15:47:33.000000+00:00
23.6,44.2,101.4,4.1,56.0,31.4,26.5,194,7.8,2026-01-07T22:11:08.000000+00:00
24.2,44.5,102.7,4.2,55.3,30.8,26.9,198,7.7,2026-01-08T08:22:19.000000+00:00
24.7,44.8,103.9,4.3,54.7,30.3,27.3,203,7.6,2026-01-08T15:47:33.000000+00:00
25.3,45.1,105.1,4.4,54.1,29.7,27.7,208,7.5,2026-01-08T22:11:08.000000+00:00
25.8,45.4,106.3,4.5,53.4,29.2,28.1,213,7.4,2026-01-09T08:22:19.000000+00:00
26.4,45.7,107.5,4.6,52.8,28.6,28.5,218,7.3,2026-01-09T15:47:33.000000+00:00
26.9,46.0,108.8,4.7,52.2,28.1,28.9,223,7.2,2026-01-09T22:11:08.000000+00:00
